Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
MMF;Investimentos Financeiros (Mf);M7600TP01;MMFA1;25;FALSE;FALSE;Sex;19:30:00;21:30:00;02-09-22;Sala Aulas Mestrado;Auditório_0NE02-Caiano_Pereira;89;[Anfiteatro_aulas, Horário_sala_visível_portal_público, Sala_Aulas_Mestrado, Sala_Aulas_Mestrado_Plus, Sala_de_Aulas_normal]
MMF;Investimentos Financeiros (Mf);M7600TP01;MMFA1;25;FALSE;FALSE;Sáb;11:00:00;13:00:00;03-09-22;Sala Aulas Mestrado;Auditório_0NE02-Caiano_Pereira;89;[Anfiteatro_aulas, Horário_sala_visível_portal_público, Sala_Aulas_Mestrado, Sala_Aulas_Mestrado_Plus, Sala_de_Aulas_normal]
MM;Seminário de Investigação em Marketing;00737S02;MMB1;36;FALSE;TRUE;Seg;17:00:00;19:00:00;05-09-22;Sala/anfiteatro aulas;Auditório_0NE02-Caiano_Pereira;89;[Anfiteatro_aulas, Horário_sala_visível_portal_público, Sala_Aulas_Mestrado, Sala_Aulas_Mestrado_Plus, Sala_de_Aulas_normal]
CIIBS;Introdução à Gestão de Operações e A Análise de Projetos de Investimento;IGOAPITP01;MGST-MI;26;TRUE;FALSE;Qua;16:00:00;18:00:00;07-09-22;Não necessita de sala;;;Não necessita de sala
MM;Seminário de Investigação em Marketing;00737S03;MMB2;24;FALSE;FALSE;Qua;18:30:00;20:30:00;07-09-22;Sala/anfiteatro aulas;AA3.30;24;[Horário_sala_visível_portal_público, Sala_Aulas_Mestrado, Sala_Aulas_Mestrado_Plus, Sala_de_Aulas_normal]
CIIBS;Introdução à Gestão de Operações e A Análise de Projetos de Investimento;IGOAPITP01;MGST-MI;26;TRUE;FALSE;Qui;08:00:00;11:00:00;08-09-22;Não necessita de sala;;;Não necessita de sala
MMF;Investimentos Financeiros (Mf);M7600TP01;MMFA1;25;FALSE;FALSE;Sex;17:30:00;19:30:00;09-09-22;Sala/anfiteatro aulas;Auditório_0NE02-Caiano_Pereira;89;[Anfiteatro_aulas, Horário_sala_visível_portal_público, Sala_Aulas_Mestrado, Sala_Aulas_Mestrado_Plus, Sala_de_Aulas_normal]
MMF;Econometria dos Mercados Financeiros;M7606TP01;MMFB1;10;FALSE;FALSE;Sex;17:30:00;19:30:00;09-09-22;Sala Aulas Mestrado;AA3.32;10;[Horário_sala_visível_portal_público, Sala_Reunião]
MMF;Econometria dos Mercados Financeiros;M7606TP01;MMFB1;10;FALSE;FALSE;Sex;19:30:00;21:30:00;09-09-22;Sala Aulas Mestrado;AA3.32;10;[Horário_sala_visível_portal_público, Sala_Reunião]
MMF;Investimentos Financeiros (Mf);M7600TP01;MMFA1;25;FALSE;FALSE;Sáb;09:00:00;11:00:00;10-09-22;Sala/anfiteatro aulas;Auditório_0NE02-Caiano_Pereira;89;[Anfiteatro_aulas, Horário_sala_visível_portal_público, Sala_Aulas_Mestrado, Sala_Aulas_Mestrado_Plus, Sala_de_Aulas_normal]
