Código,Unidade Curricular,Cursos,Tipo,Época,Nome,Requer inscrição prévia,Período de Inscrição,Data,Salas,Estado de pedido de sala,Capacidade Salas,Nº alunos previsto,Lugares
03015,Avaliação da Performance Financeira,BPG018 - GE,Projecto,Época Normal,Trabalho,Não,-,2022/11/26 18:00 - 2022/12/13 18:30,,,0,0,0
M8623,"Definição, Sinalização e Avaliação de Crianças em Situação de Mau Trato e Negligência",0311 - CIECSH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 11:30 - 14:30,,,0,38,-38
L5164,Cidadania e Cultura Política,9019 - LCP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,78,-78
02852,Abordagens à Psicopatologia,8014 - LSS-PL,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 18:30 - 21:30,,,0,60,-60
00618,Dissertação em Serviço Social,B119 - MSS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,43,-43
00513,Desenho de Sistemas de Informação,B15 - MGSI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,35,-35
03475,Gestão de Operações e Sistema Logístico,B23 - MGSS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/10/24 09:30 - 12:30,Auditório 1NE03 - JJ Laginha,Resolvido,148,45,103
01186,Métodos de Pesquisa em Antropologia (2º Ciclo),"B121 - MA, 0232 - MA-UTAD, 0326 - EP",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 18:30 - 21:30,,,0,27,-27
00251,Finanças Empresariais (I),B24 - MF,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/07 15:00 - 18:00,,,0,51,-51
L1903,Comportamento e Experiência do Consumidor,9156 - LGM,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 11:30 - 14:30,,,0,43,-43
03460,Mar e Globalização,0291 - GSM,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,44,-44
02397,Avaliação e Peritagem de Obras de Arte,0176 - MMA,Exame,1.ª Época,1ª Época - Exame,Não,-,2023/01/16 18:00 - 20:30,AA2.28,Resolvido,15,5,10
01109,Economia do Ambiente e dos Recursos Naturais,0313 - CIIBS,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 11:30 - 14:30,,,0,53,-53
L0782,Introdução à Programação,"9098 - LETI, 9119 - LEI, 9885 - LEI-PL, 9189 - LIGE, 8366 - LIGE-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 08:00 - 11:00,,,0,404,-404
03746,Laboratório de Internet das Coisas,0312 - CIISTA,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 18:30 - 21:30,,,0,44,-44
