Edifício;Nome_sala;Capacidade_Normal;Capacidade_Exame;Nº_características;Anfiteatro_aulas;Apoio_técnico_eventos;Arq_1;Arq_2;Arq_3;Arq_4;Arq_5;Arq_6;Arq_9;BYOD_(Bring_Your_Own_Device);Focus_Group;Horário_sala_visível_portal_público;Laboratório_de_Arquitectura_de_Computadores_I;Laboratório_de_Arquitectura_de_Computadores_II;Laboratório_de_Bases_de_Engenharia;Laboratório_de_Electrónica;Laboratório_de_Informática;Laboratório_de_Jornalismo;Laboratório_de_Redes_de_Computadores_I;Laboratório_de_Redes_de_Computadores_II;Laboratório_de_Telecomunicações;Sala_Aulas_Mestrado;Sala_Aulas_Mestrado_Plus;Sala_NEE;Sala_Provas;Sala_Reunião;Sala_de_Arquitectura;Sala_de_Aulas_normal;videoconferencia;Átrio
Ala_Autónoma_(ISCTE-IUL);Auditório_Afonso_de_Barros;80;39;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);Auditório_Silva_Leal;54;27;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA2.23;50;23;5;;;;;;;;;;;;X;;;;;;;;;;X;X;X;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA2.24;30;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA2.25;38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA2.26;38;19;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA2.28;30;19;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA2.29;50;24;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.23;50;23;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.24;28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.25;38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.26;30;19;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.28;48;29;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.29;50;24;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.30;24;15;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA3.32;10;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;
Ala_Autónoma_(ISCTE-IUL);AA3.40;32;18;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Ala_Autónoma_(ISCTE-IUL);AA4.07;10;0;1;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);C0.08;1;0;1;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D0.01;2;2;2;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;
Edifício_II_(ISCTE-IUL);D0.03;15;0;2;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D0.05;6;0;2;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);Espaço_Exposições;41;41;1;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);A1;1;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X
Edifício_II_(ISCTE-IUL);Auditório_B1.03;204;102;6;X;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);Auditório_B1.04;192;96;6;X;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);Auditório_C1.03;70;44;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);Auditório_C1.04;60;44;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);B1;29;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X
Edifício_II_(ISCTE-IUL);B1.01;12;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;
Edifício_II_(ISCTE-IUL);B1.02;1;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;
Edifício_II_(ISCTE-IUL);Balcão_Receção;1;0;1;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);C1;1;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X
Edifício_II_(ISCTE-IUL);C1.01;35;23;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);D1.01;35;21;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.02;27;18;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.03;20;12;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.04;23;15;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.05;30;20;5;;;;;;;;;;X;;X;;;;;;;;;;X;X;;;;;X;;
Edifício_II_(ISCTE-IUL);D1.06;28;19;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.07;27;18;5;;;;;;;;;;X;;X;;;;;;;;;;X;X;;;;;X;;
Edifício_II_(ISCTE-IUL);D1.08;10;0;1;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.09;50;30;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.10;20;12;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.11;22;17;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.12;27;18;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);D1.14;27;16;2;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);Grande_Auditório;498;0;1;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
Edifício_II_(ISCTE-IUL);Auditório_B2.03;180;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;
Edifício_II_(ISCTE-IUL);Auditório_B2.04;192;96;6;X;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);B2;1;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X
Edifício_II_(ISCTE-IUL);B2.01;50;31;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);B2.02;52;26;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);C2.01;52;28;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
Edifício_II_(ISCTE-IUL);C2.02;34;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
Edifício_II_(ISCTE-IUL);C2.03;6;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;
Edifício_II_(ISCTE-IUL);C2.05;24;0;2;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;
